titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Bmw 530E Facelift Luxury Line 2020,27 990 €,27990.0,2021,122 844,N/A,https://www.olx.ro/d/oferta/bmw-530e-facelift-luxury-line-2020-IDjKK4u.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7qo3qap9g6rq1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/sud1ky1exwa11-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/v0okhmja6hag1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ydoae0wdh4co-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/27ye4enykn7k2-RO/image;s=1200x1600,petrol,automatic,Berlina,BMW,Unknown,olx_jKK4u,2025-09-11T13:49:56.224308
Bmw X6 3 0D Mhev M Paket Pro Scaune M Sky Lounge Soft Close,"85 000 €
Prețul e negociabil",85000.0,2024,25 000,N/A,https://www.olx.ro/d/oferta/bmw-x6-3-0d-mhev-m-paket-pro-scaune-m-sky-lounge-soft-close-IDjNoMN.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/dsf0qpiq8qgb-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/3r9ofye7sy763-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/mf4vo3pws11o2-RO/image;s=1000x733;https://frankfurt.apollo.olxcdn.com:443/v1/files/pk3n287xurg33-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/82npp914foa11-RO/image;s=1000x750,diesel,automatic,SUV,BMW,X6,olx_jNoMN,2025-09-11T13:49:59.355556
Bmw 320I 2020 M,"25 900 €
Prețul e negociabil",25900.0,2020,150 000,N/A,https://www.olx.ro/d/oferta/bmw-320i-2020-m-IDjCIUu.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fwb5mu7mpbl41-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ht7jmq2ico582-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ej6ye37ttruz1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/py8cyx5tshw81-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/d759en5o6iiv2-RO/image;s=750x1000,petrol,automatic,Berlina,BMW,Unknown,olx_jCIUu,2025-09-11T13:50:04.019690
Bmw G30 10 2018 2 0 Diesel 190 Cp Stare Perfecta Istoric La Zi,"21 980 €
Prețul e negociabil",21980.0,2018,198 000,N/A,https://www.olx.ro/d/oferta/bmw-g30-10-2018-2-0-diesel-190-cp-stare-perfecta-istoric-la-zi-IDjNoE4.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/t44calzw2lrv2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wblp6q9iv83z1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9vl75qufnsmg1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/4o27fs9txj012-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/x03igv1ijank3-RO/image;s=1000x750,diesel,automatic,Berlina,BMW,Unknown,olx_jNoE4,2025-09-11T13:50:08.606623
Bmw M2 2018 Lci Dct,"3 800 €
Prețul e negociabil",3800.0,2018,129 000,N/A,https://www.olx.ro/d/oferta/bmw-m2-2018-lci-dct-IDjnRzy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ld4029kvcrsk-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/k1m6ogwld95e-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/ptvplgw7gofe2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/lut0i85opkb51-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/0dq42g1sg6bq1-RO/image;s=4032x3024,petrol,automatic,Coupe,BMW,M2,olx_jnRzy,2025-09-11T13:50:12.872284
Bmw 218D Active Tourer 2018 Euro 6,"14 890 €
Prețul e negociabil",14890.0,2018,195 000,N/A,https://www.olx.ro/d/oferta/bmw-218d-active-tourer-2018-euro-6-IDiO7YY.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/m5wo6vrykqnr3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/tvp2v2p39aov-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/lhfa81huu1412-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/w82pyrdls5t23-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/3x5fexeojyiv-RO/image;s=1024x768,diesel,automatic,Hatchback,BMW,Unknown,olx_iO7YY,2025-09-11T13:50:20.514977
Bmw I3 94 Ah Facelift Led Trapa Piele Dashcam Premium Suite,"14 900 €
Prețul e negociabil",14900.0,2018,59 000,N/A,https://www.olx.ro/d/oferta/bmw-i3-94-ah-facelift-led-trapa-piele-dashcam-premium-suite-IDj4WG9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/tl1kiez5gxt61-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/2una5yn7zpaf-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/etpxfpxbqac23-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/30flsabz2hdb-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/qru21hkxkonm3-RO/image;s=4032x3024,electric,automatic,Hatchback,BMW,i3,olx_j4WG9,2025-09-11T13:50:29.685859
Bmw Seria 5 G30 520D X Drive 190Cp,26 750 €,26750.0,2019,124 000,N/A,https://www.olx.ro/d/oferta/bmw-seria-5-g30-520d-x-drive-190cp-IDjNnLB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/005r04jlk8183-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/dm9ijtxnxn6l1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/3icjkyb89oto-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/7fqinoikdg3x1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lh0kxwrixc7j1-RO/image;s=750x1000,diesel,automatic,Berlina,BMW,Seria 5,olx_jNnLB,2025-09-11T13:50:33.908605
Bmw X3 M Pachet Reviziile Sunt Facute La Bmw,"41 000 €
Prețul e negociabil",41000.0,2020,116 000,N/A,https://www.olx.ro/d/oferta/bmw-x3-m-pachet-reviziile-sunt-facute-la-bmw-IDjHv1d.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/lxmcuppution3-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/bot67vs5cakr1-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/zyyo7zhcs0c33-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/0behmrbz2po03-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/e07jfpnix3cc-RO/image;s=1536x2048,diesel,automatic,SUV,BMW,X3,olx_jHv1d,2025-09-11T13:50:38.422615
Bmw X3 M Competition Predare Leasing,7 170 €,7170.0,2020,91 395,N/A,https://www.olx.ro/d/oferta/bmw-x3-m-competition-predare-leasing-IDjNnNk.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/qwgn1uldlnnu2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/wzz4mrvx6xeh-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/koju5bllmy523-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/utd43krjv5ad2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/wm6zksg6ipa1-RO/image;s=2000x1500,petrol,automatic,SUV,BMW,X3,olx_jNnNk,2025-09-11T13:50:43.305546
