titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
X5 G05 340Cp Primul Proprietar De Noua,"39 500 €
Prețul e negociabil",39500.0,2019,146 500,https://www.olx.ro/d/oferta/x5-g05-340cp-primul-proprietar-de-noua-IDjEQkH.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vp2hxnad30u91-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/bj9zf4f2ixyc-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xwg1z382cofy1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/o9jkdscne1t42-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/a809j785w7r03-RO/image;s=1000x750,petrol,automatic,SUV,Unknown,Unknown,olx_jEQkH,2025-09-15T08:22:52.425517
Bmw Seria 4 420D F36 Km Reali Istoric Bmw,"19 300 €
Prețul e negociabil",19300.0,2017,185 000,https://www.olx.ro/d/oferta/bmw-seria-4-420d-f36-km-reali-istoric-bmw-IDjGUtr.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7kta5bmu8u0m2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/v843hgwnbtwu-RO/image;s=1076x1914;https://frankfurt.apollo.olxcdn.com:443/v1/files/pqljnu0dqxgm3-RO/image;s=1080x1133;https://frankfurt.apollo.olxcdn.com:443/v1/files/dl51vh6a4zgm3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/klddr78sccwn3-RO/image;s=2000x1500,diesel,automatic,Coupe,BMW,Seria 4,olx_jGUtr,2025-09-15T08:23:08.760026
Bmw M2 M240I 2024 G42 Primul Proprietar Garantie 2029 200K Km,"53 000 €
Prețul e negociabil",53000.0,2024,,https://www.olx.ro/d/oferta/bmw-m2-m240i-2024-g42-primul-proprietar-garantie-2029-200k-km-IDjBBdO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2iorp61vtmgi-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/2xotrvnm6uih2-RO/image;s=6796x4531;https://frankfurt.apollo.olxcdn.com:443/v1/files/eq1nekuqutwa3-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/j24h02uigxum3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/afzovn8gojyv1-RO/image;s=4032x3024,petrol,N/A,Coupe,BMW,M2,olx_jBBdO,2025-09-15T08:24:13.793761
Mercedes Cls350D,"36 500 €
Prețul e negociabil",36500.0,2018,182 000,https://www.olx.ro/d/oferta/mercedes-cls350d-IDjKoIp.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/aub9iauelfki3-RO/image;s=2048x1364;https://frankfurt.apollo.olxcdn.com:443/v1/files/ufiljdgk3dz32-RO/image;s=1364x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/alnodnwyb6wy2-RO/image;s=2048x1364;https://frankfurt.apollo.olxcdn.com:443/v1/files/ahimx25vx43y1-RO/image;s=2048x1364;https://frankfurt.apollo.olxcdn.com:443/v1/files/w7a4m0xtp4lw-RO/image;s=1298x2048,diesel,automatic,Berlina,Unknown,Unknown,olx_jKoIp,2025-09-15T08:25:09.021885
Mercedes Gle53 Amg 2023,75 000 €,75000.0,2023,54 000,https://www.olx.ro/d/oferta/mercedes-gle53-amg-2023-IDjJCca.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/suydzs9peh3w3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ptz09sjwvfgn-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j79c7vokknce3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/x4ah9kwanluh3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vzpq7ravnhcn3-RO/image;s=750x1000,petrol,automatic,SUV,MG,Unknown,olx_jJCca,2025-09-15T08:25:24.999664
Gle Coupe 4 3 Amg,"33 500 €
Prețul e negociabil",33500.0,2017,120 000,https://www.olx.ro/d/oferta/gle-coupe-4-3-amg-IDjOk14.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/k0xh5vpp2sgn2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/i85isxzvenhj1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/69ygod38d9b12-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/mi2xkrl8f6u52-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/1ukihz3kehr92-RO/image;s=1000x750,petrol,automatic,Coupe,MG,Unknown,olx_jOk14,2025-09-15T08:25:33.250496
E 220 Coupe Diesel Amgline 2017 2 0 Diesel Panoramic,"13 490 €
Prețul e negociabil",13490.0,2017,140 000,https://www.olx.ro/d/oferta/e-220-coupe-diesel-amgline-2017-2-0-diesel-panoramic-IDjKKOk.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/h38krl48hwwi1-RO/image;s=1000x645;https://frankfurt.apollo.olxcdn.com:443/v1/files/lfg48xf34y1a3-RO/image;s=1000x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/liycy748cokf1-RO/image;s=1000x674;https://frankfurt.apollo.olxcdn.com:443/v1/files/9ims0ke4aojv2-RO/image;s=1000x634;https://frankfurt.apollo.olxcdn.com:443/v1/files/4czfp5oqitq61-RO/image;s=1000x662,diesel,automatic,Coupe,MG,Unknown,olx_jKKOk,2025-09-15T08:25:40.454861
Mercedes Cls400 Amg,34 900 €,34900.0,2019,200 000,https://www.olx.ro/d/oferta/mercedes-cls400-amg-IDjNKuD.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/dlpnp8dc723q-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/syq6a25rx2ut2-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/mypwqpp28tga2-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/7daow6kubjf91-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/e01w7kwi1q8a1-RO/image;s=1000x664,diesel,automatic,Berlina,MG,Unknown,olx_jNKuD,2025-09-15T08:25:48.794829
Mercedes Gls 63 Amg,"89 900 €
Prețul e negociabil",89900.0,2021,95 000,https://www.olx.ro/d/oferta/mercedes-gls-63-amg-IDjMG3k.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yfutxdge0ep41-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/zzdk18cbzakd1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/yeykdb4nolkp2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/s60yu4jn0s2e3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/g5vqb0abi56m2-RO/image;s=1000x750,petrol,automatic,SUV,MG,Unknown,olx_jMG3k,2025-09-15T08:26:03.168179
Mercedes Gle 350D Schimb Variante Cu Bascula 8X4,37 000 €,37000.0,2019,75 000,https://www.olx.ro/d/oferta/mercedes-gle-350d-schimb-variante-cu-bascula-8x4-IDjBK5H.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/neb7yito1yo12-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/1o783ojl192k-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kxat99r79qnt1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/gz1itbw4a4na2-RO/image;s=633x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lsupajcqg7o93-RO/image;s=603x1000,diesel,automatic,Coupe,Unknown,Unknown,olx_jBK5H,2025-09-15T08:26:18.099770
Mercedes Benz Glc Coupe 220D 4Matic Amg Line,68 500 €,68500.0,2025,9 500,https://www.olx.ro/d/oferta/mercedes-benz-glc-coupe-220d-4matic-amg-line-IDjMW8T.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ztj77508xh1u2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/d9g76ggxrjnp-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vbvyibnh47vh1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/7bnazjse4zu6-RO/image;s=1000x760;https://frankfurt.apollo.olxcdn.com:443/v1/files/qow8d3sleu373-RO/image;s=1000x750,diesel,automatic,SUV,MG,Unknown,olx_jMW8T,2025-09-15T08:26:26.131568
Mercedes Benz C220 4Matic 9G Tronic 2020,"26 500 €
Prețul e negociabil",26500.0,2020,141 500,https://www.olx.ro/d/oferta/mercedes-benz-c220-4matic-9g-tronic-2020-IDjJ0sw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7gk3r8klv7ww2-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/2fjazaon8aif2-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/ezmvku4q18sg3-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/6q6j8fntl2nl1-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/hj0b58hql1hm3-RO/image;s=1000x667,diesel,N/A,Berlina,Unknown,Unknown,olx_jJ0sw,2025-09-15T08:26:33.836121
Mercedes Benz Cla 200 Preluare Leasing,14 000 €,14000.0,2021,37 000,https://www.olx.ro/d/oferta/mercedes-benz-cla-200-preluare-leasing-IDjEMaT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/58vruskxrs5i2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/yil5acugygvz2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pp5assltqpou-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/zpjp9i8puy69-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/qh0ivvccr99m-RO/image;s=1000x750,petrol,automatic,Coupe,Unknown,Unknown,olx_jEMaT,2025-09-15T08:26:40.802605
Mercedes Benz Glc 200D 163Cp Multibeam Led Camera Burmester,25 400 €,25400.0,2020,165 000,https://www.olx.ro/d/oferta/mercedes-benz-glc-200d-163cp-multibeam-led-camera-burmester-IDjBUqw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/veeb3fmxe0ul3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/itpq15c4mrgf3-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/0xv9j41x5vlb1-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/yrcwwylovli42-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/yizdxgq2dwpx2-RO/image;s=4032x3024,diesel,automatic,SUV,Unknown,Unknown,olx_jBUqw,2025-09-15T08:26:47.168136
